Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date,ProductID,CropName
Dry Maize,Yellow Maize,-,-,Gikomba,77.78/Kg,100.00/Kg,,Nairobi,2026-02-05,1,Product-1
Dry Maize,White Maize,-,-,Gikomba,53.33/Kg,70.00/Kg,,Nairobi,2026-02-05,1,Product-1
Dry Maize,White Maize,-,-,Ngurubani Market,50.00/Kg,60.00/Kg,6200.0,Kirinyaga,2026-02-04,1,Product-1
Dry Maize,Mixed-Traditional,-,-,Mukuyu Market,-,75.00/Kg,,Muranga,2026-02-04,1,Product-1
Dry Maize,White Maize,-,-,Taveta Retail Market,40.00/Kg,50.00/Kg,2000.0,Taita-Taveta,2026-02-04,1,Product-1
Dry Maize,White Maize,-,-,Mulot,50.00/Kg,70.00/Kg,5400.0,Bomet,2026-02-04,1,Product-1
Dry Maize,White Maize,-,-,Kawangware,55.00/Kg,65.00/Kg,,Nairobi,2026-02-04,1,Product-1
Dry Maize,Yellow Maize,-,-,Gikomba,77.78/Kg,100.00/Kg,,Nairobi,2026-02-04,1,Product-1
Dry Maize,White Maize,-,-,Gikomba,53.33/Kg,70.00/Kg,,Nairobi,2026-02-04,1,Product-1
Dry Maize,White Maize,-,-,Maua,55.56/Kg,70.00/Kg,6300.0,Meru,2026-02-03,1,Product-1
Dry Maize,Yellow Maize,-,-,Holo,-,50.00/Kg,,Kisumu,2026-02-03,1,Product-1
Dry Maize,White Maize,-,-,Holo,44.44/Kg,50.00/Kg,,Kisumu,2026-02-03,1,Product-1
Dry Maize,White Maize,-,-,Kerugoya,55.00/Kg,70.00/Kg,4200.0,Kirinyaga,2026-02-03,1,Product-1
Dry Maize,White Maize,-,-,Mogogosiek Market,50.00/Kg,62.50/Kg,10800.0,Bomet,2026-02-03,1,Product-1
Dry Maize,Mixed-Traditional,-,-,Nkubu,44.44/Kg,50.00/Kg,630.0,Meru,2026-02-03,1,Product-1
Dry Maize,White Maize,-,-,Kapkwen,37.78/Kg,52.00/Kg,360000.0,Bomet,2026-02-03,1,Product-1
Dry Maize,Yellow Maize,-,-,Gikomba,77.78/Kg,100.00/Kg,,Nairobi,2026-02-03,1,Product-1
Dry Maize,White Maize,-,-,Gikomba,53.33/Kg,70.00/Kg,,Nairobi,2026-02-03,1,Product-1
Dry Maize,White Maize,-,-,Kawangware,55.00/Kg,65.00/Kg,,Nairobi,2026-02-02,1,Product-1
Dry Maize,Yellow Maize,-,-,Gikomba,77.78/Kg,100.00/Kg,,Nairobi,2026-02-02,1,Product-1
Dry Maize,White Maize,-,-,Gikomba,53.33/Kg,70.00/Kg,,Nairobi,2026-02-02,1,Product-1
Dry Maize,Yellow Maize,-,-,Kibuye,-,65.00/Kg,,Kisumu,2026-02-01,1,Product-1
Dry Maize,White Maize,-,-,Kibuye,57.78/Kg,65.00/Kg,,Kisumu,2026-02-01,1,Product-1
Dry Maize,White Maize,-,-,Muhoroni,42.31/Kg,4.62/Kg,2500.0,Kisumu,2026-02-01,1,Product-1
Dry Maize,White Maize,-,-,Khayega,48.89/Kg,53.33/Kg,18000.0,Kakamega,2026-02-01,1,Product-1
Dry Maize,White Maize,-,-,Ngurubani Market,50.00/Kg,60.00/Kg,5500.0,Kirinyaga,2026-01-31,1,Product-1
Dry Maize,White Maize,-,-,Ndanai Market,48.89/Kg,70.00/Kg,45000.0,Bomet,2026-01-30,1,Product-1
Dry Maize,White Maize,-,-,Kisasi,40.00/Kg,55.00/Kg,,Kitui,2026-01-30,1,Product-1
Dry Maize,White Maize,-,-,Kagio,42.22/Kg,64.00/Kg,,Kirinyaga,2026-01-30,1,Product-1
Dry Maize,White Maize,-,-,Mumias,-,59.09/Kg,,Kakamega,2026-01-30,1,Product-1
Dry Maize,Yellow Maize,-,-,Gikomba,77.78/Kg,100.00/Kg,,Nairobi,2026-01-30,1,Product-1
Dry Maize,White Maize,-,-,Gikomba,53.33/Kg,70.00/Kg,,Nairobi,2026-01-30,1,Product-1
Dry Maize,White Maize,-,-,Kitale Municipality Market,40.00/Kg,46.67/Kg,400.0,Trans-Nzoia,2026-01-30,1,Product-1
Dry Maize,White Maize,-,-,Gakoromone,48.89/Kg,51.11/Kg,40000.0,Meru,2026-01-30,1,Product-1
Dry Maize,White Maize,-,-,Katito,57.78/Kg,56.77/Kg,7500.0,Kisumu,2026-01-29,1,Product-1
